       NREP    # atoms  total energy eps=10^-12    total energy eps=10^-4     total energy eps=10^-5     total energy eps=10^-6     total energy eps=10^-7   total energy eps=10^-8
          1         96        -546.297608926726         -546.296565510446          -546.297518606089          -546.297603623505          -546.297607663088        -546.297608908226
          2        768        -4370.38904112999         -4370.38412735268          -4370.38842286677          -4370.38898371148          -4370.38903515235        -4370.38904080454
          3       2592        -14750.0614596441         -14750.0448983678          -14750.0594474366          -14750.0612859153          -14750.0614427874        -14750.0614587574
          4       6144        -34963.1123380055         -34963.0731454846          -34963.1075771677          -34963.1119266066          -34963.1122983137         -34963.112335982
          5      12000        -68287.3290391095         -68287.2525528161          -68287.3197509302          -68287.3282361841          -68287.3289616233        -68287.3290351593
          6      20736        -118000.491677162         -118000.359542497          -118000.475639335          -118000.490290166          -118000.491543276        -118000.491670339
